	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
230532	tt10079028	movie	Celluloid Slaughter	Celluloid Slaughter	0	2020	\N	\N	Horror
230566	tt10079796	movie	The Wasteland of Education	The Wasteland of Education	0	2020	\N	120	Drama,Music
230690	tt10081762	movie	Breaking Surface	Breaking Surface	0	2020	\N	\N	Action,Drama,Thriller
230694	tt10082520	movie	Range of Sniper	Range of Sniper	0	2020	\N	45	Action
230703	tt10083340	movie	Gangubai Kathiawadi	Gangubai Kathiawadi	0	2020	\N	\N	Drama
230709	tt10083868	movie	Bole chudiyan	Bole chudiyan	0	2020	\N	\N	Comedy,Drama,Romance
230731	tt10084832	movie	Nomad	Nomad	0	2020	\N	\N	Adventure,Drama,Romance
230761	tt10086754	movie	Momi's House	Momi's House	0	2020	\N	105	Family
230812	tt10088984	movie	Between Two Worlds	Le quai de Ouistreham	0	2020	\N	\N	Drama
230838	tt10090058	movie	Satria Dewa: Gatotkaca	Satria Dewa: Gatotkaca	0	2020	\N	\N	Fantasy
230841	tt10090114	movie	The Naked Ghost	The Naked Ghost	0	2020	\N	96	Horror
230875	tt10091630	movie	The Oath	Klyatva	0	2020	\N	125	\N
230887	tt10092362	movie	Pastor's Wife	Pastor's Wife	0	2020	\N	\N	Drama
230889	tt10092464	movie	Adbhoot - ek dhandal saira vaira	Adbhoot - ek dhandal saira vaira	0	2020	\N	\N	Drama
230895	tt10092752	movie	Earth and Blood	La terre et le sang	0	2020	\N	80	Action,Crime,Thriller
230908	tt10093594	movie	Rol&Rol	Rol&Rol	0	2020	\N	\N	Documentary
230922	tt10095328	movie	The Undertaker's Wife	The Undertaker's Wife	0	2020	\N	\N	Thriller
230944	tt10096114	movie	The Glint of Darkness: Revolution	The Glint of Darkness: Revolution	0	2020	\N	51	Action,Crime,Mystery
230951	tt10096232	movie	Whatever It Takes The Movie: When Blood Runs Cold	Whatever It Takes The Movie: When Blood Runs Cold	0	2020	\N	\N	Crime
230958	tt10096842	movie	False Positive	False Positive	0	2020	\N	\N	Horror
230963	tt10097312	movie	Manchurian Tiger	Manchurian Tiger	0	2020	\N	\N	Comedy,Drama
230967	tt10097384	movie	Home Sweet Home	Mi Mi Fang Ke	0	2020	\N	\N	Drama,Mystery,Thriller
231007	tt10098048	movie	Can Art Stop a Bullet: William Kelly's Big Picture	Can Art Stop a Bullet: William Kelly's Big Picture	0	2020	\N	90	Documentary,History
231016	tt10098288	movie	Roohi Afzana	Roohi Afzana	0	2020	\N	\N	Comedy,Horror
231029	tt10098442	movie	L'autre	L'autre	0	2020	\N	77	Drama
231050	tt10100196	movie	You Mean Everything to Me	You Mean Everything to Me	0	2020	\N	\N	Drama
231073	tt10100678	movie	Losers Revolution	Losers Revolution	0	2020	\N	89	Comedy
231106	tt10101774	movie	Psycho Party Planner	The Party Planner	0	2020	\N	93	Thriller
231108	tt10101806	movie	La dona il·legal	La dona il·legal	0	2020	\N	\N	Drama
